sourceId,referenceTimestamp,value,unit,lon,lat
SN27301,2025-01-02 06:00:00+00:00,4.1,mm,10.2501,59.3562
SN23560,2025-01-02 06:00:00+00:00,0.0,mm,8.8557,61.2433
SN30530,2025-01-02 06:00:00+00:00,2.5,mm,9.2643,59.5688
SN31900,2025-01-02 06:00:00+00:00,1.5,mm,8.8083264,59.7464781
SN19930,2025-01-02 06:00:00+00:00,1.0,mm,10.0563,59.86835
SN31850,2025-01-02 06:00:00+00:00,2.2,mm,8.7124579,59.6047213
SN13060,2025-01-02 06:00:00+00:00,0.0,mm,10.1732,61.2732
SN27316,2025-01-02 18:00:00+00:00,0.0,mm,10.2692,59.371
SN26590,2025-01-02 18:00:00+00:00,0.0,mm,10.2312,59.7445
SN26630,2025-01-02 18:00:00+00:00,0.0,mm,9.8728,59.7323
SN30860,2025-01-02 18:00:00+00:00,0.1,mm,9.058,59.8861
SN31520,2025-01-02 18:00:00+00:00,0.2,mm,8.314218,59.8356592
SN23420,2025-01-02 18:00:00+00:00,0.0,mm,9.224,60.9785
SN26898,2025-01-02 18:00:00+00:00,0.0,mm,10.1382,59.7538
SN31210,2025-01-02 18:00:00+00:00,0.5,mm,8.2667,60.1
SN28380,2025-01-02 18:00:00+00:00,0.0,mm,9.6377,59.6247
SN30875,2025-01-02 18:00:00+00:00,0.0,mm,8.9865101,59.8104756
SN26500,2025-01-02 18:00:00+00:00,0.0,mm,9.9728,59.9202
SN32220,2025-01-02 18:00:00+00:00,0.0,mm,8.9837,59.5022
SN31500,2025-01-02 18:00:00+00:00,1.2,mm,8.3477,59.8247
SN23800,2025-01-02 18:00:00+00:00,0.0,mm,8.3807,61.1973
SN27010,2025-01-02 18:00:00+00:00,1.7,mm,10.146,59.713
SN26580,2025-01-02 18:00:00+00:00,0.0,mm,10.2142049,59.7310381
SN20301,2025-01-02 18:00:00+00:00,0.0,mm,10.2478,60.1665
SN27015,2025-01-02 18:00:00+00:00,0.0,mm,10.1458,59.7192
SN26594,2025-01-02 18:00:00+00:00,0.0,mm,10.1973,59.7327
SN27212,2025-01-02 18:00:00+00:00,0.0,mm,10.2087,59.4173
SN26802,2025-01-02 18:00:00+00:00,0.0,mm,10.0258,59.7328
SN26864,2025-01-02 18:00:00+00:00,0.1,mm,10.195,59.7497
SN24890,2025-01-02 18:00:00+00:00,0.0,mm,9.1323323,60.5669244
SN31250,2025-01-02 18:00:00+00:00,0.1,mm,8.3755,59.9958
SN26840,2025-01-02 18:00:00+00:00,0.0,mm,10.0123,59.7658
SN24710,2025-01-02 18:00:00+00:00,0.0,mm,9.605,60.383
SN26790,2025-01-02 18:00:00+00:00,0.0,mm,10.0275,59.7498
